date,volatility
2022-11-03,60.57
2022-11-04,58.94
2022-11-05,60.4
2022-11-06,62.86
2022-11-07,67.57
2022-11-08,92.43
2022-11-09,83.55
2022-11-10,92.09
2022-11-11,89.53
2022-11-12,94.41
2022-11-13,89.49
2022-11-14,81.14
2022-11-15,88.01
2022-11-16,81.64
2022-11-17,75.37
2022-11-18,73.63
2022-11-19,78.15
2022-11-20,79.78
2022-11-21,79.73
2022-11-22,77.13
2022-11-23,73.22
2022-11-24,67.61
2022-11-25,66.08
2022-11-26,65.91
2022-11-27,67.9
2022-11-28,66.82
2022-11-29,65.46
2022-11-30,61.91
2022-12-01,60.06
2022-12-02,59.38
2022-12-03,61.82
2022-12-04,59.61
2022-12-05,59.23
2022-12-06,61.44
2022-12-07,60.18
2022-12-08,59.83
2022-12-09,61.81
2022-12-10,63.95
2022-12-11,64.03
2022-12-12,62.87
2022-12-13,60.85
2022-12-14,58.91
2022-12-15,61.53
2022-12-16,64.5
2022-12-17,67.37
